anime;anime_img;episodes;rate
07 Ghost;https://img1.ak.crunchyroll.com/i/spire4/1d3f1855ba933617b4d6792d9d3154191300831088_full.jpg;0;478
No. 6;https://img1.ak.crunchyroll.com/i/spire3/dca9bed9a499f3726c8d8b2739597cb11310169368_full.jpg;0;468
SKET Dance;https://img1.ak.crunchyroll.com/i/spire3/69265eb93a25ab7d8a9180eb18be87f91301520977_full.jpg;77;477
Otome Yokai Zakuro;https://img1.ak.crunchyroll.com/i/spire3/386d1502f639bf789e6d3cdb81ec8efd1285798977_full.jpg;0;477
Lilpri;https://img1.ak.crunchyroll.com/i/spire1/1d6757bf2a0ecd6009200ec8954986e21275429494_full.jpg;0;479
Squid Girl;https://img1.ak.crunchyroll.com/i/spire3/cd29219a95ba07cf19a03065086d457d1285618435_full.jpg;26;472
Yokuwakaru Gendai Maho;https://img1.ak.crunchyroll.com/i/spire1/9ba846366ac278397026fc0dbd85ad241279145309_full.jpg;0;459
A Bridge to the Starry Skies - Hoshizora e Kakaru Hashi;https://img1.ak.crunchyroll.com/i/spire1/81dd54fdff01b94c9d0db26cde9d345b1301615143_full.jpg;0;468
Occult Academy;https://img1.ak.crunchyroll.com/i/spire4/f04613ba958a842966e71eefa78902851277849939_full.jpg;0;458
Kaasan Mom's Life;https://img1.ak.crunchyroll.com/i/spire1/6dc85bff282441835d9807ec70a88d5f1279147059_full.jpg;0;469
Re:ZERO -Starting Life in Another World-;https://img1.ak.crunchyroll.com/i/spire2/4ea073a64ebabedc9a2d2d690659c8c01579337678_full.jpg;63;455
One Piece;https://img1.ak.crunchyroll.com/i/spire4/8056a82e973dde98ebb82abd39dc69731564519729_full.jpg;1135;47
A Dark Rabbit has Seven Lives;https://img1.ak.crunchyroll.com/i/spire1/65d9ba376a2df8b74499550166ae1fa31310005744_full.jpg;0;462
Kono Aozora ni Yakusoku wo;https://img1.ak.crunchyroll.com/i/spire3/e36ef8cda32620a906bc784fb168f8961279145347_full.jpg;0;46
Fate/Zero;https://img1.ak.crunchyroll.com/i/spire3/2ee05df6e44530437069955b71f09daf1317839234_full.jpg;25;479
JoJo's Bizarre Adventure;https://img1.ak.crunchyroll.com/i/spire3/04b29833ccaaf2ee6bda1d08f2f02ecf1539039197_full.jpg;158;487
Chihayafuru;https://img1.ak.crunchyroll.com/i/spire1/3711c8d7170680a6f6fa3503b2ca7da31572467477_full.jpg;74;483
My Hero Academia;https://img1.ak.crunchyroll.com/i/spire2/cccce22d1dfaaf713284a617ee0b539a1572467883_full.jpg;86;48
Your lie in April;https://img1.ak.crunchyroll.com/i/spire3/40e6c04e05ce1efb08815b870a6d39331412797514_full.jpg;22;485
Fairy Musketeers;https://img1.ak.crunchyroll.com/i/spire3/c50dddde547e8c8e64dd51abee3ea2921279145317_full.jpg;0;477
Air Master;https://img1.ak.crunchyroll.com/i/spire3/d2f7dc87bc7ff25c034396460d55cfab1273790662_full.jpg;0;45
Nogizaka Haruka no Himitsu - Purezza -;https://img1.ak.crunchyroll.com/i/spire4/948bff2ae507a9102a8d8550fe1263ee1279146445_full.jpg;0;476
Hyakko;https://img1.ak.crunchyroll.com/i/spire2/76f3cb6b81dccd992916ea149220dfb41450743734_full.jpg;0;47
Is It Wrong to Try to Pick Up Girls in a Dungeon?;https://img1.ak.crunchyroll.com/i/spire4/316cad91725ebe89703b8306e95e9d941564075240_full.jpg;26;462
DARLING in the FRANXX;https://img1.ak.crunchyroll.com/i/spire4/e8e3c09f8450c3d8a90a03e2198688f61515484130_full.jpg;50;434
Listen to Me, Girls, I'm Your Father!;https://img1.ak.crunchyroll.com/i/spire4/ab1040e21dceb2f4866d623507dcafdd1336684022_full.jpg;12;468
BORUTO: NARUTO NEXT GENERATIONS;https://img1.ak.crunchyroll.com/i/spire1/ffe5a84ffeafce5f20693f7e9b6ff0151579221442_full.jpg;148;321
Brave 10;https://img1.ak.crunchyroll.com/i/spire3/0ad95ed4fd62f25cf311c5c19d4198661325696546_full.jpg;12;464
HEROMAN;https://img1.ak.crunchyroll.com/i/spire4/553eb268c3b32b6228cc3f75b4a44a3e1279147038_full.jpg;0;455
Food Wars! Shokugeki no Soma;https://img1.ak.crunchyroll.com/i/spire4/bdb7cd339117868cd6696dce922f318e1571270456_full.jpg;74;477
Miracle Train;https://img1.ak.crunchyroll.com/i/spire2/af71aa0173370eb9b7053735ec1592fc1435081453_full.jpg;0;46
Kanamemo;https://img1.ak.crunchyroll.com/i/spire1/cccfaba0a20473634e3056e44966b4a21505349456_full.jpg;0;464
Ristorante Paradiso;https://img1.ak.crunchyroll.com/i/spire2/298c1dc60226f4e97e7355caff4b9e1f1450826623_full.jpg;0;462
Black Jack;https://img1.ak.crunchyroll.com/i/spire3/4ae3ad8063e5dba770c2e39bfe01f6a11422326960_full.jpg;0;471
Hanamaru Kindergarten;https://img1.ak.crunchyroll.com/i/spire2/4cf51d9ef0398071bf43d087a62b3f831279147051_full.jpg;0;476
Demon Slayer: Kimetsu no Yaiba;https://img1.ak.crunchyroll.com/i/spire3/f1fe5c7a43cb2f38f4152a58f89479821554508873_full.jpg;26;487
GOBLIN SLAYER;https://img1.ak.crunchyroll.com/i/spire4/0b07451e9b20be6c024833a762a2e6a81538837010_full.jpg;13;448
Sound of the Sky;https://img1.ak.crunchyroll.com/i/spire3/8261f2e111f9d0f92a385fd6e7d114f41279146478_full.jpg;0;474
