anime;anime_img;episodes;rate
World Trigger;https://img1.ak.crunchyroll.com/i/spire1/4bcfa1957b6785289d711849033f01b71449288307_full.jpg;73;437
Wise Man's Grandchild;https://img1.ak.crunchyroll.com/i/spire3/dbde2d81b808667b8596d87a5be08fa81555952474_full.jpg;0;365
Bungo Stray Dogs;https://img1.ak.crunchyroll.com/i/spire2/c33592b4651e7cccf7ec66244e0f8ee81555537663_full.jpg;63;463
Nagi no Asukara (Nagi-Asu: A Lull in the Sea);https://img1.ak.crunchyroll.com/i/spire1/ab1ed5aaaee7561e30843a287f5f7e7f1380849418_full.jpg;0;472
Kokoro Connect;https://img1.ak.crunchyroll.com/i/spire1/3cc2a02548c242c19f668d88aa72a1ac1341524886_full.jpg;13;447
GAMERS!;https://img1.ak.crunchyroll.com/i/spire4/8f61d08e713fc25ad54cf12079836b5f1499856494_full.jpg;12;383
Monthly Girls' Nozaki-kun;https://img1.ak.crunchyroll.com/i/spire4/49060cb7e02dd3d338273d2530e4888f1404663731_full.jpg;12;48
Captain Harlock;https://img1.ak.crunchyroll.com/i/spire1/47cc4e9d26d596ba7c3c389aa02903371449885718_full.jpg;0;461
Beyond the Boundary;https://img1.ak.crunchyroll.com/i/spire3/49057c8a0c251290717949e4b5ca9ae81380661754_full.jpg;0;435
Orange;https://img1.ak.crunchyroll.com/i/spire3/4052cb0ee15e76c3795319b0a08c1ecb1467466859_full.jpg;26;455
Yonna in the Solitary Fortress;https://img1.ak.crunchyroll.com/i/spire2/83421c3acdccb77aea327b236524d45d1505348403_full.jpg;0;383
AMNESIA;https://img1.ak.crunchyroll.com/i/spire3/ee0d385e20e9d9ca78ba3ca372fecfe61357577656_full.jpg;0;35
Chance Pop Session;https://img1.ak.crunchyroll.com/i/spire3/81c8cd7a15693b0441b4559b85c7e5ad1237059684_full.jpg;0;469
Akashic Records of Bastard Magic Instructor;https://img1.ak.crunchyroll.com/i/spire2/691011d134b441ab95ca1bc0ac85095e1493152833_full.jpg;24;41
MEGALOBOX;https://img1.ak.crunchyroll.com/i/spire1/75c8ff7a84bac94f275d2a1c0c8f05601522906376_full.jpg;13;479
The Melody of Oblivion;https://img1.ak.crunchyroll.com/i/spire2/4d2b0f20525a3e6eeaa78f6d18e460cc1289443876_full.jpg;0;423
STRIKE THE BLOOD;https://img1.ak.crunchyroll.com/i/spire4/83fd66cede2723d350243459e2b241ce1380849787_full.jpg;0;391
Canvas 2: Niji Iro no Sketch;https://img1.ak.crunchyroll.com/i/spire2/e6b78d9d125b7bcf1796d1557ada35211289441722_full.jpg;0;458
A Place Further Than the Universe;https://img1.ak.crunchyroll.com/i/spire2/660c6764c4cad0ee1c344a2dc2190a031514329409_full.jpg;13;49
King's Game;https://img1.ak.crunchyroll.com/i/spire3/f93fed24fab3b7e9a4b23cb375e7eac51507190163_full.jpg;12;204
Keijo!!!!!!!!;https://img1.ak.crunchyroll.com/i/spire3/02efb5862c8f76d2d9239913c3c323d71475742970_full.jpg;12;406
Polar Bear Cafe;https://img1.ak.crunchyroll.com/i/spire1/20c0f597a7017bd01c64711f49cac3e31333478264_full.jpg;50;462
Mobile Suit GUNDAM Iron Blooded Orphans;https://img1.ak.crunchyroll.com/i/spire3/e9724d06d964d91e937874b67ccab1791481589502_full.jpg;50;457
Upotte!!;https://img1.ak.crunchyroll.com/i/spire3/d6f1d1a2e17e22c87063bcebe41b25731333490143_full.jpg;10;414
Blast of Tempest;https://img1.ak.crunchyroll.com/i/spire2/5fed5c5ec8dc3d09ef8697317d2592ef1349120133_full.jpg;0;448
Yamada-kun and the Seven Witches;https://img1.ak.crunchyroll.com/i/spire3/f5a1c70df13361b1ffcab4f01f3628f41428603548_full.jpg;24;471
Lady Death;https://img1.ak.crunchyroll.com/i/spire1/08132008/6/a/c/0/6ac0d6ebebf8e0_full.jpg;0;378
WATAMOTE ~No Matter How I Look at It, It's You Guys Fault I�m Not Popular!~;https://img1.ak.crunchyroll.com/i/spire2/bf33fea2830c6b2eb25de7e2ba1ad6931374105898_full.jpg;0;442
KIZNAIVER;https://img1.ak.crunchyroll.com/i/spire2/5b05d3b35d57f3ee1e676b2b1c2561941459523366_full.jpg;12;417
Kite Liberator;https://img1.ak.crunchyroll.com/i/spire3/7c0b6aa992ebe1f22561dbeb2a63bbd71548367191_full.jpg;0;435
The Master of Ragnarok & Blesser of Einherjar;https://img1.ak.crunchyroll.com/i/spire3/cf2965b2c053e2edc9b8b24e4c190f381530980453_full.jpg;12;23
Love Live!;https://img1.ak.crunchyroll.com/i/spire3/deaf323b7654b1e9d6a63b9dfb1ae8cc1532553708_full.jpg;13;464
Tono to Issho;https://img1.ak.crunchyroll.com/i/spire1/6b2a60cec9e3d3556b4153e9ad819c281278453677_full.jpg;0;425
Domestic Girlfriend;https://img1.ak.crunchyroll.com/i/spire4/e9d06c4b49db6a61f50d15d22056001f1549334227_full.jpg;12;44
Record of Grancrest War;https://img1.ak.crunchyroll.com/i/spire3/322ad2bbe085d7ad53beea371af5e76f1515179616_full.jpg;25;359
JUNI TAISEN: ZODIAC WAR;https://img1.ak.crunchyroll.com/i/spire3/5e0959a46056750b55a3da344f9800a21509568283_full.jpg;12;329
Love Stage!!;https://img1.ak.crunchyroll.com/i/spire1/d095879534187c6f57546b2aafb8b5361404912213_full.jpg;10;472
KAGUYA-SAMA: LOVE IS WAR;https://img1.ak.crunchyroll.com/i/spire4/faa002ac9675024246d94d4b8f4133561547263949_full.jpg;12;483
Leiji Matsumoto's OZMA;https://img1.ak.crunchyroll.com/i/spire3/68ce9afef020943e33944a0a75e571c91331943843_full.jpg;6;407
Medaka Box;https://img1.ak.crunchyroll.com/i/spire4/f51d374e523942b3a25aaeccb8ebae5c1349376953_full.jpg;0;456
TRINITY SEVEN;https://img1.ak.crunchyroll.com/i/spire4/981211045a13bf64782730e577d399cd1412621473_full.jpg;14;425
Fire Force;https://img1.ak.crunchyroll.com/i/spire2/d9541544a1473c6702f8848cfe9c7f071570815754_full.jpg;0;418
Eromanga Sensei;https://img1.ak.crunchyroll.com/i/spire2/6fd1a6719108981ae2d04125f0768b3d1491614015_full.jpg;12;379
Himouto! Umaru-chan;https://img1.ak.crunchyroll.com/i/spire3/ab21e2b37d995124ea4a77f51f81becc1436371805_full.jpg;12;454
Ace of the Diamond;https://img1.ak.crunchyroll.com/i/spire4/0147a7268ae1c79b111c8fd62fbe8fbe1433796778_full.jpg;176;463
School-Live!;https://img1.ak.crunchyroll.com/i/spire4/b7ce4b859fb5081ac27a54fe89ee67171446083640_full.jpg;12;452
BTOOOM!;https://img1.ak.crunchyroll.com/i/spire3/fd16e4a8ada302acc780fcdc453838201349203837_full.jpg;0;439
High School Prodigies Have It Easy Even In Another World;https://img1.ak.crunchyroll.com/i/spire1/ebc3cee0d3d66bc61c79c6a3bf4f3d2b1569965179_full.jpg;12;316
Digimon Adventure tri.;https://img1.ak.crunchyroll.com/i/spire1/b02e8e0d9f590d92c7ad3fd791fe0d2c1512769874_full.jpg;26;432
Kimi ni Todoke - From Me To You;https://img1.ak.crunchyroll.com/i/spire1/30fc6bf31dd77e6ffd536dd9f226d9171350608350_full.jpg;0;461
Tsukigakirei;https://img1.ak.crunchyroll.com/i/spire3/af334aeaa3a5401d604d7333a40d9ccb1493161743_full.jpg;13;482
Masamune-kun's Revenge;https://img1.ak.crunchyroll.com/i/spire4/e2ee07328be2ad91eb1325a4310799091532553339_full.jpg;13;361
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?;https://img1.ak.crunchyroll.com/i/spire3/08dc0b300fca1be155cb7d6252fd3c0f1562792915_full.jpg;12;284
Kotoura-san;https://img1.ak.crunchyroll.com/i/spire1/b888c171fc749d4951e5711992960e6b1533939080_full.jpg;12;458
Sword Art Online Alternative: Gun Gale Online;https://img1.ak.crunchyroll.com/i/spire4/88fd796020664ac4cfa103891a487e2f1523056672_full.jpg;13;373
ZOMBIE LAND SAGA;https://img1.ak.crunchyroll.com/i/spire4/fa152294500d068e6a0c19086dc000b21538634514_full.jpg;12;45
I Can't Understand What My Husband Is Saying;https://img1.ak.crunchyroll.com/i/spire2/f6f7c9535c942abd78d2e79d4930054b1427742235_full.jpg;26;465
My Mental Choices are Completely Interfering with my School Romantic Comedy;https://img1.ak.crunchyroll.com/i/spire4/b37a1cfc55bd1bbbbe406686b102dff71381182918_full.jpg;10;437
Total Eclipse;https://img1.ak.crunchyroll.com/i/spire3/9c6f496c9bf1d83a9ca879bf90e975ff1339620971_full.jpg;25;368
ASSASSINS PRIDE;https://img1.ak.crunchyroll.com/i/spire3/cc63e8a94f2028ff91b9c451e023e10a1570487820_full.jpg;12;317
Os Cavaleiros do Zodíaco - ómega;https://img1.ak.crunchyroll.com/i/spire1/80314f46c97f61248c6d945e76a06ca61333396790_full.jpg;97;405
Hundred;https://img1.ak.crunchyroll.com/i/spire2/7fdc1bac364cad4b9c864561e3e6813b1529088203_full.jpg;12;305
My First Girlfriend is a Gal;https://img1.ak.crunchyroll.com/i/spire1/873c27e421082f024bb235c590bd35fd1499834799_full.jpg;10;342
Laid-Back Camp;https://img1.ak.crunchyroll.com/i/spire4/5ac5fff410cb66c57ce0d2ea2617d08d1515076527_full.jpg;12;484
NEW GAME!;https://img1.ak.crunchyroll.com/i/spire1/68af8ecae409291f8d6278a82cbf9b491499909337_full.jpg;24;45
Restaurant to Another World;https://img1.ak.crunchyroll.com/i/spire2/10b117017d07aa836665f0608ef46ad11498717948_full.jpg;12;449
Cells at Work!;https://img1.ak.crunchyroll.com/i/spire3/62efd37b4358eb2302a4f3c94bb85aa91530946368_full.jpg;14;476
Knight's & Magic;https://img1.ak.crunchyroll.com/i/spire4/ca81ded75159b3eba12bdc433184abab1500918988_full.jpg;13;397
Cowboy Bebop;https://img1.ak.crunchyroll.com/i/spire2/127db1f9004cc0e4a515790475d9e2631473191104_full.jpg;0;493
The World is Still Beautiful;https://img1.ak.crunchyroll.com/i/spire2/f584f1a1c42a9d60d96b7b899c950a901396569315_full.jpg;12;465
Wolf Girl and Black Prince;https://img1.ak.crunchyroll.com/i/spire2/294147950163234facd7bde3366d142b1412462203_full.jpg;12;395
Run with the Wind;https://img1.ak.crunchyroll.com/i/spire3/cabfcbdfb646e8a96e4c2418cac38ce81538453543_full.jpg;23;495
Angels of Death;https://img1.ak.crunchyroll.com/i/spire1/8f4360f3e165b0356a5f9859f57bda4b1530856755_full.jpg;16;389
Mushishi;https://img1.ak.crunchyroll.com/i/spire2/3cc855b30696ef70482ccf0ed345e1921388181894_full.jpg;22;488
Uta no Prince Sama;https://img1.ak.crunchyroll.com/i/spire1/eb574ad8eca9c73a41a5e08b9b4264e51431481219_full.jpg;39;442
Problem Children are Coming from Another World, aren't they?;https://img1.ak.crunchyroll.com/i/spire4/5e5a8d0f46487186e64687b046e0eb691357673527_full.jpg;10;46
Alderamin on the Sky;https://img1.ak.crunchyroll.com/i/spire2/2a560a83c5ba6eefb87200bc4a03ddad1467930221_full.jpg;13;454
Arpeggio of Blue Steel;https://img1.ak.crunchyroll.com/i/spire3/19a3e0820714a21744fe66f691e1f3411381181724_full.jpg;0;444
Blue Spring Ride;https://img1.ak.crunchyroll.com/i/spire3/509fe806cb6a2984a44886f8d90849591405547999_full.jpg;0;467
91 Days;https://img1.ak.crunchyroll.com/i/spire3/e91939a4f48ac442425e1ded03ba36731467927131_full.jpg;14;472
RADIANT;https://img1.ak.crunchyroll.com/i/spire2/e75203df3d9fbee76d042cb172994f1d1571271082_full.jpg;42;377
Magical Warfare;https://img1.ak.crunchyroll.com/i/spire3/fd1995f61ffa3737058a75c56ec2c2501389397450_full.jpg;0;272
Fruits Basket;https://img1.ak.crunchyroll.com/i/spire3/113723dbe198372b4cbede38898083991554421405_full.jpg;0;491
Phantom Thief Reinya;https://img1.ak.crunchyroll.com/i/spire4/1269d49b704e147c3b8d6328e0cdaa4e1273800172_full.jpg;0;444
The Fruit of Grisaia;https://img1.ak.crunchyroll.com/i/spire1/b55af73258d22994da6763bf921dd3981411851215_full.jpg;24;441
GOD EATER;https://img1.ak.crunchyroll.com/i/spire4/fd241d37083abbc9adb3ad008167ba9b1438800120_full.jpg;13;40
Welcome to Demon School! Iruma-kun;https://img1.ak.crunchyroll.com/i/spire4/1b8bbdf3fa604e61cbf760cd93a6ab901570139985_full.jpg;23;479
Kamigami no Asobi;https://img1.ak.crunchyroll.com/i/spire1/b841d550e4e8b37f78860b9d12091e921402512685_full.jpg;12;436
The Quintessential Quintuplets;https://img1.ak.crunchyroll.com/i/spire1/a2b8d11869efab5a512a1199ce81548a1547076276_full.jpg;12;456
GIRLS und PANZER;https://img1.ak.crunchyroll.com/i/spire2/fcc618e79bb56e87e456a6604040fe451351543013_full.jpg;0;45
Maoyu;https://img1.ak.crunchyroll.com/i/spire3/f8fac7a1c5cef184eeaff834fc98bcfb1357156029_full.jpg;12;435
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us;https://img1.ak.crunchyroll.com/i/spire1/fe604ed8734e831ceeb0e827c45815971492038534_full.jpg;12;464
GLASSLIP;https://img1.ak.crunchyroll.com/i/spire1/93f86790998560f5a3dfe2d17fb5ff3b1403820617_full.jpg;13;283
Rozen Maiden Zurückspulen;https://img1.ak.crunchyroll.com/i/spire1/a1bd6226fa984c2224c6ba7e35d849c21372797575_full.jpg;0;166
Witch Craft Works;https://img1.ak.crunchyroll.com/i/spire3/3361a8826a8a95ec98e320b64962b3541505347682_full.jpg;12;433
Flowers of Evil;https://img1.ak.crunchyroll.com/i/spire2/81b089af2d4affb17c7e01cbf20638561365212516_full.jpg;13;424
given;https://img1.ak.crunchyroll.com/i/spire2/b0ccaf974df65b4a74c0b84f3696ecd41562788869_full.jpg;11;485
KARAKAI JOZU NO TAKAGI-SAN;https://img1.ak.crunchyroll.com/i/spire1/0ecc80ed74ddb2c26df3c0c8711cda671515201557_full.jpg;12;482
Interviews with Monster Girls;https://img1.ak.crunchyroll.com/i/spire1/bf00bb9314272a29b058894cf331d6ed1483790667_full.jpg;26;466
Sunday Without God;https://img1.ak.crunchyroll.com/i/spire1/d4e0f7bb37eb53e7c79a355c948d665b1373186751_full.jpg;12;444
The Lost Village;https://img1.ak.crunchyroll.com/i/spire1/0c7a446d4b906b325acf65f78cbe4bd41459543054_full.jpg;12;309
Taboo Tattoo;https://img1.ak.crunchyroll.com/i/spire2/7b0a1af7b3edf481daff9666590f96a41467608461_full.jpg;12;224
March comes in like a lion;https://img1.ak.crunchyroll.com/i/spire4/6d28a93bd474e377db459f05021f25ff1507942227_full.jpg;45;479
HINAMATSURI;https://img1.ak.crunchyroll.com/i/spire3/a96c256019920b13cff748e473228d351522977218_full.jpg;12;479
Haven't You Heard? I'm Sakamoto;https://img1.ak.crunchyroll.com/i/spire3/c836efd49dded6ba59d4aa9e162222c61531953960_full.jpg;13;457
The Ambition of Oda Nobuna;https://img1.ak.crunchyroll.com/i/spire3/630663a7141eab297e4e4f91daf2345b1339706264_full.jpg;12;456
BLEND-S;https://img1.ak.crunchyroll.com/i/spire4/c15e58f7beaf54646c1ad0bcbb4886ff1507336620_full.jpg;12;453
Didn't I say to make my abilities average in the next life;https://img1.ak.crunchyroll.com/i/spire3/89f652de5eeea32c66b1ce8b8ed321fd1570055637_full.jpg;12;381
Tonari no Seki-kun: The Master of Killing Time;https://img1.ak.crunchyroll.com/i/spire1/38bb57dd62113be9d617e3444caa27d51388427345_full.jpg;21;47
Magical Girl Raising Project;https://img1.ak.crunchyroll.com/i/spire2/5e2d98db4c41c552f373441c7ab34de61483472913_full.jpg;12;36
MEKAKUCITY ACTORS;https://img1.ak.crunchyroll.com/i/spire4/65bf061d56748adb0057e96f3b6221ac1397156105_full.jpg;12;407
ORESUKI Are you the only one who loves me?;https://img1.ak.crunchyroll.com/i/spire2/d207626e8baa71938e43965f2fdf9b841569978229_full.jpg;13;468
Sound! Euphonium;https://img1.ak.crunchyroll.com/i/spire3/6f75a04362fadee1a5890e8d413d722b1477942259_full.jpg;27;465
Ushio and Tora;https://img1.ak.crunchyroll.com/i/spire1/153485f765efc8131b7ddc924538d0bd1459362513_full.jpg;39;457
Flying Witch;https://img1.ak.crunchyroll.com/i/spire3/71db9b8dbcbd69284df73b4c1e6ef3df1460066070_full.jpg;12;469
Campione!;https://img1.ak.crunchyroll.com/i/spire3/b875e1859893863a735e70051743c7f61532555393_full.jpg;13;437
Brynhildr in the Darkness;https://img1.ak.crunchyroll.com/i/spire4/bcf91aca242a6121922a362ad6077bea1396738971_full.jpg;13;391
Blade and Soul;https://img1.ak.crunchyroll.com/i/spire4/14b8893e3a46ba0bc9038150be10b4da1396550597_full.jpg;13;302
Silver Spoon;https://img1.ak.crunchyroll.com/i/spire4/797ee6f4f0b43b1a1f96aa380d8fce4d1373187155_full.jpg;22;491
You and Me 2;https://img1.ak.crunchyroll.com/i/spire2/9668d567f0eac7c864db0dff024a34271333122773_full.jpg;13;473
Kino no Tabi -the Beautiful World- the Animated Series;https://img1.ak.crunchyroll.com/i/spire3/2dea28d9e1164f3dc918df0bff7c4cd41507268536_full.jpg;12;454
Bakemonogatari;https://img1.ak.crunchyroll.com/i/spire3/2298cd3152d723592023777d5157a5d11347307796_full.jpg;0;444
DRAMAtical Murder;https://img1.ak.crunchyroll.com/i/spire1/91c3c07b001931bcdb342bb21b711c581404631762_full.jpg;12;399
Ace Attorney;https://img1.ak.crunchyroll.com/i/spire1/be9da4b43d277a66dc4d6b30b0fc66451539039605_full.jpg;47;378
Yowamushi Pedal;https://img1.ak.crunchyroll.com/i/spire1/7a36b97db217210884787b989c48b9eb1412362077_full.jpg;65;479
Biyou Shounen Celebrity;https://img1.ak.crunchyroll.com/i/spire4/811ebf0418542826665e66723f676be31273796248_full.jpg;0;477
If It's for My Daughter, I'd Even Defeat a Demon Lord;https://img1.ak.crunchyroll.com/i/spire1/51e9283b8ebb3d798076c1860a561e9f1562249422_full.jpg;12;403
Tsuredure Children;https://img1.ak.crunchyroll.com/i/spire3/f9f6337b02f4cd45d88036aeeda724781532553378_full.jpg;12;461
Fuuka;https://img1.ak.crunchyroll.com/i/spire2/3b86bbf3ad40f36f86df634e138837ca1484112439_full.jpg;12;34
Phi Brain;https://img1.ak.crunchyroll.com/i/spire1/17cf628e3cc4ce6cda4eb7bf873911e91334963586_full.jpg;0;444
One-Punch Man;https://img1.ak.crunchyroll.com/i/spire2/486f88e5889422c72ab7b12a58f794721554828665_full.jpg;25;422
World Break: Aria of Curse for a Holy Swordsman;https://img1.ak.crunchyroll.com/i/spire1/a36fca80fc4921ae3526be21f4ae20361420839553_full.jpg;12;35
Non Non Biyori;https://img1.ak.crunchyroll.com/i/spire1/f24f103a10fd45daab2d4754d2e384b71437527434_full.jpg;24;477
Kiss Him, Not Me;https://img1.ak.crunchyroll.com/i/spire3/d34e93dbf1f415f97abc6d0bcf9530441475826495_full.jpg;12;448
A Sister's All You Need.;https://img1.ak.crunchyroll.com/i/spire2/280373cfd5d6c270ca614b21b883362c1507939705_full.jpg;12;431
PUNCH LINE;https://img1.ak.crunchyroll.com/i/spire4/32364c0341343859046ed51f004216b41428009679_full.jpg;12;426
Sengoku Collection (Parallel World Samurai);https://img1.ak.crunchyroll.com/i/spire3/f8e77ffccd87f92a284f83b780c1fd301333469169_full.jpg;26;421
SHELTER;https://img1.ak.crunchyroll.com/i/spire3/3f1ecebbe01737eafee3e861a0e4201e1476790440_full.jpg;0;483
sweetness & lightning;https://img1.ak.crunchyroll.com/i/spire3/adeebec82242cd8f432f4e244af81a061467608954_full.jpg;12;47
Peeping Life;https://img1.ak.crunchyroll.com/i/spire4/a11f11364d259b90b280c98b3acf91041279149401_full.jpg;0;397
Asobi Asobase - workshop of fun -;https://img1.ak.crunchyroll.com/i/spire2/6c109728160434e952a2e4ddfec1844c1531041569_full.jpg;12;481
Myriad Colors Phantom World;https://img1.ak.crunchyroll.com/i/spire3/961d72f6b3825bca53b772996d47eae91452021340_full.jpg;13;388
Ascendance of a Bookworm;https://img1.ak.crunchyroll.com/i/spire1/abb59102f88dba0b083e225db4421ee01569893751_full.jpg;16;471
Saekano -How to Raise a Boring Girlfriend-;https://img1.ak.crunchyroll.com/i/spire4/30eb07003c901066a9db027399c77ad41420598162_full.jpg;13;431
Tanaka-kun is Always Listless;https://img1.ak.crunchyroll.com/i/spire4/83f81ae9ac9b3ff32f03e259cbce3d741460065974_full.jpg;12;473
How to Keep a Mummy;https://img1.ak.crunchyroll.com/i/spire3/7f430180701beef5a7456e15f8dfb3401515660254_full.jpg;12;477
Love Tyrant;https://img1.ak.crunchyroll.com/i/spire1/709f009f655cd4f3e45fe22d5f23b8231491460185_full.jpg;12;384
Drifters;https://img1.ak.crunchyroll.com/i/spire4/726d45e25fc2f239ccdd753a16742efb1475824870_full.jpg;0;461
SHIROBAKO;https://img1.ak.crunchyroll.com/i/spire4/eec93e750b6b873f13e04a2c77d57dca1412806442_full.jpg;24;485
Digimon Xros Wars - The Young Hunters Who Leapt Through Time;https://img1.ak.crunchyroll.com/i/spire4/fa32794cd3d9fe3fc9420cf0c13aea461321566661_full.jpg;0;464
Izetta: The Last Witch;https://img1.ak.crunchyroll.com/i/spire2/abcc6053c4fdcdab998997a8aaa2708f1475018758_full.jpg;12;403
La storia della Arcana Famiglia;https://img1.ak.crunchyroll.com/i/spire4/fb245b43a27e980deb4d22344f6c9ee81341524726_full.jpg;0;331
My Roommate is a Cat;https://img1.ak.crunchyroll.com/i/spire1/f2e9101be6f96bf61ad3dd7c59cf95151547049778_full.jpg;12;479
Magical Play;https://img1.ak.crunchyroll.com/i/spire3/a29af40b2235aaf307f71c6ea4f3b8671238689689_full.jpg;0;434
White Album 2;https://img1.ak.crunchyroll.com/i/spire3/eb8e031b31c11a2dc86f67356c3b33fe1380822049_full.jpg;13;43
GA Geijutsuka Art Design Class;https://img1.ak.crunchyroll.com/i/spire4/ccc236ed0a14593699b7276640c2337d1300830384_full.jpg;0;459
Beautiful Bones -Sakurako's Investigation-;https://img1.ak.crunchyroll.com/i/spire1/cc524e45cf051cc9aedf2865e92440161444328430_full.jpg;12;456
Pop Team Epic;https://img1.ak.crunchyroll.com/i/spire4/bb673c0b1d84bd936c5819ed2b1e36701515252231_full.jpg;16;392
Love, Chunibyo & Other Delusions;https://img1.ak.crunchyroll.com/i/spire3/d6ee37b791b46c7c66cda8af1e72298b1392243736_full.jpg;0;483
AHO-GIRL;https://img1.ak.crunchyroll.com/i/spire1/38529679dfcb6e71142fd496087a7cfe1532553227_full.jpg;12;424
Spiritpact;https://img1.ak.crunchyroll.com/i/spire1/7b30e330965dd4b3dfb464baa6116e571519666590_full.jpg;22;375
Showa Genroku Rakugo Shinju;https://img1.ak.crunchyroll.com/i/spire4/1a5cf74930e3f840d1e4722a243ba2c61452284006_full.jpg;25;491
HENNEKO � The Hentai Prince and the Stony Cat -;https://img1.ak.crunchyroll.com/i/spire2/eae7a3123a59fe382b3f37b36417a6d51365787722_full.jpg;0;458
Noblesse: Awakening;https://img1.ak.crunchyroll.com/i/spire4/2e37aa89ba3bca2be2265ee39557ef331454568861_full.jpg;0;463
Cute High Earth Defense Club LOVE!;https://img1.ak.crunchyroll.com/i/spire3/b320cf05482edabddc2737bd427acd041420480756_full.jpg;37;435
Twin Angel: Twinkle Paradise;https://img1.ak.crunchyroll.com/i/spire2/f796118c10c73cadd0b43df78ca7de921310005894_full.jpg;0;395
Samurai Flamenco;https://img1.ak.crunchyroll.com/i/spire1/7c71e58f419c920cc6eb4bba744d283c1380932808_full.jpg;22;381
KADO: The Right Answer;https://img1.ak.crunchyroll.com/i/spire4/ac6d2494650531e9a04a904c644bb8781491428941_full.jpg;14;385
Hakkenden: Eight Dogs of the East;https://img1.ak.crunchyroll.com/i/spire1/5fb9c1054b6ecd601122f540a2caf5a91372922899_full.jpg;26;464
Sherlock Hound;https://img1.ak.crunchyroll.com/i/spire3/d249c61445c786348372f6a1da8b8d411456263627_full.jpg;0;456
Chaika �The Coffin Princess-;https://img1.ak.crunchyroll.com/i/spire2/23298af0a3c30f54877fcabaaeaf06481396999865_full.jpg;22;429
Ixion Saga DT;https://img1.ak.crunchyroll.com/i/spire1/e47aa95a73f0b007bc1bece79ed05b981349127209_full.jpg;25;377
A Certain Magical Index;https://img1.ak.crunchyroll.com/i/spire4/036c94886386a9dd8d7390d0b1cdbc5d1542154530_full.jpg;26;355
Rozen Maiden;https://img1.ak.crunchyroll.com/i/spire4/6b58d3908d89df63dca294e320a1407b1377306630_full.jpg;0;494
Kakuriyo -Bed & Breakfast for Spirits-;https://img1.ak.crunchyroll.com/i/spire2/23ace54d89856767f992b960861168d51532552641_full.jpg;0;485
Infinite Stratos;https://img1.ak.crunchyroll.com/i/spire1/32e197e3e787775827368b613079297c1380740116_full.jpg;0;352
BIG ORDER;https://img1.ak.crunchyroll.com/i/spire4/97bf9cd2af93d6f5ffedd66e561afb871460068269_full.jpg;10;243
NANBAKA;https://img1.ak.crunchyroll.com/i/spire4/8118cdb372b59fc25e687e9a281ec5b51487017969_full.jpg;26;444
Gabriel DropOut;https://img1.ak.crunchyroll.com/i/spire3/361c7be62685d032771ebde63c53f2381483178237_full.jpg;12;432
Natsuyuki Rendezvous;https://img1.ak.crunchyroll.com/i/spire1/b3cbc66760753a90dba97d5acdac5b6a1341526085_full.jpg;0;40
Rurouni Kenshin;https://img1.ak.crunchyroll.com/i/spire4/f815d2aef3fbef83f1d01579ab344b361441838941_full.jpg;0;48
Anti-Magic Academy: The 35th Test Platoon;https://img1.ak.crunchyroll.com/i/spire3/117f221a9dd3d3a26d9273bc9cca47b71444308191_full.jpg;12;352
Gatchaman Crowds;https://img1.ak.crunchyroll.com/i/spire2/55215a441ad7aa6e1f1d1c95062f25831436469807_full.jpg;13;415
Schwarzes Marken;https://img1.ak.crunchyroll.com/i/spire2/849d51d5304ca8f1350bf6c4ea1108891452032224_full.jpg;24;398
Bladedance of Elementalers;https://img1.ak.crunchyroll.com/i/spire2/ae33dd128ae23ad1be9d65438f00141c1405097747_full.jpg;12;363
Saki Episode of Side A;https://img1.ak.crunchyroll.com/i/spire2/2436bb3a69b352f936a1ee35352382851356120260_full.jpg;16;448
Valerian and Laureline;https://img1.ak.crunchyroll.com/i/spire3/54cf04719194c108583d93cfb69956541277156988_full.jpg;0;446
Fox Spirit Matchmaker;https://img1.ak.crunchyroll.com/i/spire3/b773092e4b340bf70af3483320f62aea1498686548_full.jpg;24;378
Hand Shakers;https://img1.ak.crunchyroll.com/i/spire1/032245ab62bb06c16aa8a789f5e3c0a01483481129_full.jpg;12;278
Case Closed;https://img1.ak.crunchyroll.com/i/spire1/9a7a5344da62f8ef696654e5ec363b6c1413505831_full.jpg;0;492
Oreshura;https://img1.ak.crunchyroll.com/i/spire4/84d66337f5a9da0e55eb27a4b55632cd1357155566_full.jpg;0;425
Conception;https://img1.ak.crunchyroll.com/i/spire4/94eac17b8d3ebe2ee6bc350e1ef5d01c1542152655_full.jpg;12;232
Thunderbolt Fantasy;https://img1.ak.crunchyroll.com/i/spire3/c1ef2a351a6961cafdf525c2542f53f31539039252_full.jpg;0;468
Yamishibai;https://img1.ak.crunchyroll.com/i/spire4/31da37d7c4bd05f26a7a725c8644ddd01563476725_full.jpg;91;438
gen:LOCK;https://img1.ak.crunchyroll.com/i/spire2/8f29f3c9831e154b5710c404f054e1ee1552422805_full.jpg;8;40
Folktales from Japan;https://img1.ak.crunchyroll.com/i/spire3/684ad6c99f577b7b5787182336683e531333392267_full.jpg;300;477
DAKAICHI -I'm being harassed by the sexiest man of the year-;https://img1.ak.crunchyroll.com/i/spire4/79f68cf5a484fd76a8541402219008bf1538685129_full.jpg;13;43
